id,subject,mohs,source,problem,answer
1,Algebra,0M,USAMO 2012 P1 (AIMO3),"For $n = 6$, among any $n$ positive real numbers with $\max \\le n \\cdot \\min$, what is the maximum number of triples that are guaranteed to form acute triangles?",21
2,Algebra,5M,"IMO 2000, P2 (AIMO3)","For $a=2, b=3, c=\frac{1}{6}$, compute $\left\\lfloor 1000 \\cdot \\left(a - 1 + \\frac{1}{b}\\right)\\left(b - 1 + \\frac{1}{c}\\right)\\left(c - 1 + \\frac{1}{a}\\right) \\right\\rfloor$.",3555
3,Algebra,5M,"IMO 2001, P4 (AIMO3)","For $n=6$, how many pairs of permutations $(a, b)$ of $\{1,\\ldots,6\\}$ satisfy $S(a) \\equiv S(b) \\pmod{6!}$?",394
4,Algebra,5M,"IMO 2007, P1 (AIMO3)","For real numbers $a=5, b=6, c=7$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",3
5,Algebra,5M,"IMO 2014, P1 (AIMO3)","For sequence $a_n = n^2 + 6n + 1$, find the smallest $n$ such that $a_n > 600$.",22
6,Algebra,5M,"IMO 2019, P1 (AIMO3)","How many functions $f: \\{0,1,\\ldots,4\\} \\to \\{0,1,\\ldots,4\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{8}$?",26
7,Algebra,5M,USAMO 2002 P2 (AIMO3),"For real numbers $a=8, b=2, c=5$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",27
8,Algebra,5M,"USA TST 2014, P4 (AIMO3)","For real numbers $a=9, b=3, c=6$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",27
9,Algebra,10M,"IMO 2004, P4 (AIMO3)","For real numbers $a=10, b=4, c=7$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",27
10,Algebra,10M,"IMO 2008, P4 (AIMO3)","How many functions $f: \\{0,1,\\ldots,3\\} \\to \\{0,1,\\ldots,3\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{2}$?",17
11,Algebra,10M,"IMO 2010, P1 (AIMO3)","How many functions $f: \\{0,1,\\ldots,4\\} \\to \\{0,1,\\ldots,4\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{3}$?",26
12,Algebra,10M,USAMO 2000 P1 (AIMO3),"How many functions $f: \\{0,1,\\ldots,5\\} \\to \\{0,1,\\ldots,5\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{4}$?",37
13,Algebra,10M,USAMO 2000 P2 (AIMO3),"For real numbers $a=4, b=8, c=6$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",12
14,Algebra,10M,USAMO 2002 P4 (AIMO3),"How many functions $f: \\{0,1,\\ldots,7\\} \\to \\{0,1,\\ldots,7\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{6}$?",65
