id,subject,mohs,source,original_problem,adapted_problem,answer
1,Algebra,0M,USAMO 2012 P1,"Find all integers n $\ge$ 3 such that among any n positive real numbers $a_1$, $a_2$, $\ldots$ , $a_n$ with $\max$($a_1$, $a_2$, $\ldots$ , $a_n$) $\le$ $n\cdot\min$($a_1$, $a_2$, $\ldots$ , $a_n$), there exist three that are the side lengths of $a_n$ acute triangle.","Find the largest integer $n \ge 3$ such that among any $n$ positive real numbers $a_1, a_2, \ldots, a_n$ with $\max(a_1, \ldots, a_n) \le n \cdot \min(a_1, \ldots, a_n)$, there must exist three that are the side lengths of an acute triangle.",4
2,Algebra,5M,"IMO 2000, P2","Let a, b, c be positive real numbers so that abc $=$ 1. Prove that ( a - 1 + $\frac{1}{b}$ ) (b - 1 + $\frac{1}{c}$ ) (c - 1 + $\frac{1}{a}$ ) $\le$ 1.","Let $a = 2$, $b = \frac{1}{2}$, $c = 1$ (satisfying $abc = 1$). Compute $\left(a - 1 + \frac{1}{b}\right)\left(b - 1 + \frac{1}{c}\right)\left(c - 1 + \frac{1}{a}\right)$ as a reduced fraction $\frac{m}{n}$ and find $m + n$.",7
3,Algebra,5M,"IMO 2001, P4","Let n be an odd integer greater than 1 and let $c_1$, $c_2$, $\ldots$ , $c_n$ be integers. For each permutation a $=$ ($a_1$, $a_2$, $\ldots$ , $a_n$) of {1, 2, $\ldots$ , n}, define S(a) $=$ $\sum_{i=1}^{n}$ $c_i$ $a_i$ . Prove that there exist permutations a $\ne$ b of {1, 2, $\ldots$ , n} such that n! is a divisor of S(a) - S(b).","Let $n = 5$ and $c_i = i$ for $i = 1, \ldots, 5$. For each permutation $a = (a_1, \ldots, a_5)$ of $\{1, \ldots, 5\}$, define $S(a) = \sum_{i=1}^5 c_i a_i$. How many ordered pairs of distinct permutations $(a, b)$ satisfy $120 \mid S(a) - S(b)$?",11400
4,Algebra,5M,"IMO 2007, P1","Real numbers $a_1$, $a_2$, $\ldots$, $a_n$ are given. For each i, (1 $\le$ i $\le$ n), define $d_i$ $=$ $max{a_j$ | 1 $\le$ j $\le$ i} - $min{a_j$ | i $\le$ j $\le$ n} and let d $=$ $max{d_i$ | 1 $\le$ i $\le$ n}. (a) Prove that, for any real numbers $x_1$ $\le$ $x_2$ $\le$ $\cdots$ $\le$ $x_n$, $max{|x_i$ - $a_i$ | | 1 $\le$ i $\le$ n} $\ge$ $d^2$ . ($\ast$) (b) Show that there are real numbers $x_1$ $\le$ $x_2$ $\le$ $\cdots$ $\le$ $x_n$ such that the equality holds in (*).","For the sequence $(3, 1, 4, 1, 5)$, compute $d = \max_{1 \le i \le 5} d_i$ where $d_i = \max_{j \le i} a_j - \min_{j \ge i} a_j$.",4
5,Algebra,5M,"IMO 2014, P1",Let $a_0$ $<$ $a_1$ $<$ $a_2$ $\ldots$ be $a_n$ infinite sequence of positive integers. Prove that there exists a unique integer n $\ge$ 1 such that $a_n$ $<$ $a_0$ + $a_1$ + $a_2$ + $\cdots$ + $a_n$ n $\le$ $a_n+1$.,"For the sequence defined by $a_n = n^2 + 2n + 1$, find the unique $n \ge 1$ such that $a_n < \frac{a_0 + a_1 + \cdots + a_n}{n} \le a_{n+1}$.",3
6,Algebra,5M,"IMO 2019, P1","Let Z be the set of integers. Determine all functions f : Z $\to$ Z such that, for all integers a and b, f(2a) + 2f(b) $=$ f(f(a + b)).",Find all integers $z$ with $|z| \le 100$ such that $f(2z) + 2f(0) = f(f(z))$ for some function $f: \mathbb{Z} \to \mathbb{Z}$. How many such $z$ exist?,201
7,Algebra,5M,USAMO 2002 P2,"Let ABC be a triangle such that ( cot $A^2$ )2 + ( 2 cot $B^2$ )2 + ( 3 cot $C^2$ )2 $=$ ( 6s 7r )2 , where s and r denote its semiperimeter and its inradius, respectively. Prove that triangle ABC is similar to a triangle T whose side lengths are all positive integers with no common divisors and determine these integers.","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 8 \pmod{18}$.",800
8,Algebra,5M,"USA TST 2014, P4","Let n be a positive even integer, and let $c_1$, $c_2$, $\ldots$ , $c_n-1$ be real numbers satisfying $\sum$ $n-\frac{1}{i}=1$ $|c_i$ - 1| $<$ 1. Prove that 2x n - $c_n-1x$ n-1 + $c_n-2x$ n-2 - $\cdots$ - $c_1x$ 1 + 2 has no real roots.",Let $P(x) = x^3 - 10x^2 + 3x - 4$. Find the product of all real roots of $P(x) = 0$.,4
9,Algebra,10M,"IMO 2004, P4","Let n $\ge$ 3 be an integer. Let $t_1$, $t_2$, ..., $t_n$ be positive real numbers such that $n^2$ + 1 $>$ ($t_1$ + $t_2$ + $\cdots$ + $t_n$) ( 1 $t_1$ + 1 $t_2$ + $\cdots$ + 1 $t_n$ ) . Show that $t_i$ , $t_j$ , $t_k$ are side lengths of a triangle for all i, j, k with 1 $\le$ i $<$ j $<$ k $\le$ n.","For the recurrence $a_0 = 5$, $a_{n+1} = 2a_n + 1$, find $a_{10}$.",6143
10,Algebra,10M,"IMO 2008, P4","Find all functions f : (0,$\infty$)$^7\to$ (0,$\infty$) (so f is a function from the positive real numbers) such that (f(w))2 + (f(x))2 f($y^2$ ) + f($z^2$ ) $=$ $w^2$ + $x^2$ $y^2$ + $z_{6}^{2}$ for all positive real numbers w, x, y, z, satisfying wx $=$ yz.","How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
