id,subject,mohs,source,original,original_latex
1,Algebra,0M,USAMO 2012 P1,"Find all integers n \ge 3 such that among any n positive real numbers a ,a ,...,a with max(a ,a ,...,a ) \le n\cdotmin(a ,a ,...,a ), 1 2 n_1 2 n_1 2 n there exist three that are the side lengths of an acute triangle.","Find all integers n \ge 3 such that among any n positive real numbers a ,a ,\\ldots,a with max(a ,a ,\\ldots,a ) \le n\cdotmin(a ,a ,\\ldots,a ), 1 2 n_1 2 n_1 2 n there exist three that are the side lengths of an acute triangle."
2,Algebra,5M,"IMO 2000, P2","Let a,b,c be positive real numbers so that abc = 1. Prove that ( )( )( ) 1 1 1 a - 1 + b - 1 + c - 1 + \le 1. b c a","Let a,b,c be positive real numbers so that abc = 1. Prove that 1 1 1 a - 1 + b - 1 + c - 1 + \le 1. b c a"
3,Algebra,5M,"IMO 2001, P4","Let n be an odd integer greater than 1 and let c ,c ,...,c_1 2 n be integers. For each permutation a = (a ,a ,...,a ) of {1,2,...,n}, define 1 2 n n \sum S(a) = c a . Prove that there exist permutations a \neq= b of {1,2,...,n} i i i=1 such that n! is a divisor of S(a) - S(b).","Let n be an odd integer greater than 1 and let c ,c ,\\ldots,c_1 2 n be integers. For each permutation a = (a ,a ,\\ldots,a ) of {1,2,\\ldots,n}, define 1 2 n n \sum S(a) = c a . Prove that there exist permutations a \neq= b of {1,2,\\ldots,n} i i i=1 such that n! is a divisor of S(a) - S(b)."
4,Algebra,5M,"IMO 2007, P1","Real numbers a , a , ..., a are given. For each i, (1 \le i \le 1 2 n n), define d = max{a | 1 \le j \le i} - min{a | i \le j \le n} i j j and let d = max{d | 1 \le i \le n}. i (a) Prove that, for any real numbers x \le x \le \cdot\cdot\cdot \le x , 1 2 n d max{|x - a | | 1 \le i \le n} \ge . (∗) i i_2 (b) Show that there are real numbers x \le x \le \cdot\cdot\cdot \le x such that the 1 2 n equality holds in (*).","Real numbers a , a , \\ldots, a are given. For each i, (1 \le i \le 1 2 n n), define d = max{a | 1 \le j \le i} - min{a | i \le j \le n} i j j and let d = max{d | 1 \le i \le n}. i (a) Prove that, for any real numbers x \le x \le \cdot\cdot\cdot \le x , 1 2 n d max{|x - a | | 1 \le i \le n} \ge . (∗) i i_2 (b) Show that there are real numbers x \le x \le \cdot\cdot\cdot \le x such that the 1 2 n equality holds in (*)."
5,Algebra,5M,"IMO 2014, P1",Let a < a < a ... be an infinite sequence of positive 0 1 2 integers. Prove that there exists a unique integer n \ge 1 such that a + a + a + \cdot\cdot\cdot + a_0 1 2 n a < \le a . n n+1 n,Let a < a < a \\ldots be an infinite sequence of positive 0 1 2 integers. Prove that there exists a unique integer n \ge 1 such that a + a + a + \cdot\cdot\cdot + a_0 1 2 n a < \le a . n n+1 n
6,Algebra,5M,"IMO 2019, P1","Let Z be the set of integers. Determine all functions f : Z \to Z such that, for all integers a and b, f(2a) + 2f(b) = f(f(a + b)).","Let \mathbb{Z} be the set of integers. Determine all functions f : \mathbb{Z} \to \mathbb{Z} such that, for all integers a and b, f(2a) + 2f(b) = f(f(a + b))."
7,Algebra,5M,USAMO 2002 P2,"Let ABC be a triangle such that ( )2 ( )2 ( )2 ( )2 A B C_6s cot + 2cot + 3cot = , 2 2 2 7r where s and r denote its semiperimeter and its inradius, respectively. Prove that triangle ABC is similar to a triangle T whose side lengths are all positive integers with no common divisors and determine these integers.","Let ABC be a triangle such that ( )2 ( )2 ( )2 ( )2 A B C_6s cot + 2cot + 3cot = , 2 2 2 7r where s and r denote its semiperimeter and its inradius, respectively. Prove that triangle ABC is similar to a triangle T whose side lengths are all positive integers with no common divisors and determine these integers."
8,Algebra,5M,"USA TST 2014, P4","Let n be a positive even integer, and let c ,c ,...,c 1 2 n-1 be real numbers satisfying n-1 \sum |c - 1| < 1. i i=1 Prove that 2xn - c xn-1 + c xn-2 - \cdot\cdot\cdot - c x1 + 2 n-1 n-2 1 has no real roots.","Let n be a positive even integer, and let c ,c ,\\ldots,c 1 2 n-1 be real numbers satisfying n-1 \sum |c - 1| < 1. i i=1 Prove that 2xn - c xn-1 + c xn-2 - \cdot\cdot\cdot - c x1 + 2 n-1 n-2 1 has no real roots."
9,Algebra,10M,"IMO 2004, P4","Let n \ge 3 be an integer. Let t , t , ..., t be positive real 1 2 n numbers such that ( ) 1 1 1 n2 + 1 > (t + t + \cdot\cdot\cdot + t ) + + \cdot\cdot\cdot + . 1 2 n t t t_1 2 n Show that t , t , t are side lengths of a triangle for all i, j, k with 1 \le i < i j k j < k \le n.","Let n \ge 3 be an integer. Let t , t , \\ldots, t be positive real 1 2 n numbers such that ( ) 1 1 1 n2 + 1 > (t + t + \cdot\cdot\cdot + t ) + + \cdot\cdot\cdot + . 1 2 n t t t_1 2 n Show that t , t , t are side lengths of a triangle for all i, j, k with 1 \le i < i j k j < k \le n."
10,Algebra,10M,"IMO 2008, P4","Find all functions f : (0,\infty) \to\to (0,\infty) (so f is a function from the positive real numbers) such that (f(w)) 2 + (f(x)) 2 w2 + x2 = f(y2) + f(z2) y2 + z2 6 for all positive real numbers w,x,y,z, satisfying wx = yz.","Find all functions f : (0,\infty) \to\to (0,\infty) (so f is a function from the positive real numbers) such that (f(w)) 2 + (f(x)) 2 w2 + x2 = f(y2) + f(z2) y2 + z2 6 for all positive real numbers w,x,y,z, satisfying wx = yz."
11,Algebra,10M,"IMO 2010, P1","Find all function f : R \to R such that for all x,y \in R the following equality holds f(\lfloorx\rfloory) = f(x)\lfloorf(y)\rfloor where \lfloora\rfloor is greatest integer not greater than a.","Find all function f : \mathbb{R} \to \mathbb{R} such that for all x,y \in \mathbb{R} the following equality holds f(\lfloor \1 \rfloor y) = f(x)\lfloor f(y) \rfloor where \lfloora\rfloor is greatest integer not greater than a."
12,Algebra,10M,USAMO 2000 P1,Call a real-valued function f very convex if ( ) f(x) + f(y) x + y \ge f + |x - y| 2 2 holds for all real numbers x and y. Prove that no very convex function exists.,Call a real-valued function f very convex if ( ) f(x) + f(y) x + y \ge f + |x - y| 2 2 holds for all real numbers x and y. Prove that no very convex function exists.
13,Algebra,10M,USAMO 2000 P2,"Let S be the set of all triangles ABC for which ( ) 1 1 1 3 6 5 + + - = , AP BQ CR min{AP,BQ,CR} r where r is the inradius and P,Q,R are the points of tangency of the incir- cle with sides AB,BC,CA, respectively. Prove that all triangles in S are isosceles and similar to one another.","Let S be the set of all triangles ABC for which ( ) 1 1 1 3 6 5 + + - = , AP BQ CR min{AP,BQ,CR} r where r is the inradius and P,\mathbb{Q},\mathbb{R} are the points of tangency of the incir- cle with sides AB,BC,CA, respectively. Prove that all triangles in S are isosceles and similar to one another."
14,Algebra,10M,USAMO 2002 P4,Let R be the set of real numbers. Determine all functions f : R \to R such that f(x2 - y2) = xf(x) - yf(y) for all pairs of real numbers x and y.,Let \mathbb{R} be the set of real numbers. Determine all functions f : \mathbb{R} \to \mathbb{R} such that f(x2 - y2) = xf(x) - yf(y) for all pairs of real numbers x and y.
15,Algebra,10M,USAMO 2006 P2,"For a given positive integer k find, in terms of k, the minimum value of N for which there is a set of 2k + 1 distinct positive integers that has sum greater than N but every subset of size k has sum at most N. 2","For a given positive integer k find, in terms of k, the minimum value of \mathbb{N} for which there is a set of 2k + 1 distinct positive integers that has sum greater than \mathbb{N} but every subset of size k has sum at most \mathbb{N}. 2"
16,Algebra,10M,USAMO 2006 P4,"Find all positive integers n such that there are k \ge 2 positive rational numbers a ,a ,...,a satisfying a + a + ... + a = a \cdot 1 2 k_1 2 k_1 a \cdot\cdot\cdota = n. 2 k","Find all positive integers n such that there are k \ge 2 positive rational numbers a ,a ,\\ldots,a satisfying a + a + \\ldots + a = a \cdot 1 2 k_1 2 k_1 a \cdot\cdot\cdota = n. 2 k"
17,Algebra,10M,USAMO 2007 P1,"Let n be a positive integer. Define a sequence by setting a = n and, for each k > 1, letting a be the unique integer in the range 1 k 0 \le a \le k - 1 for which a + a + \cdot\cdot\cdot + a is divisible by k. For instance, k_1 2 k when n = 9 the obtained sequence is 9,1,2,0,3,3,3,.... Prove that for any n the sequence a ,a ,... eventually becomes constant. 1 2","Let n be a positive integer. Define a sequence by setting a = n and, for each k > 1, letting a be the unique integer in the range 1 k 0 \le a \le k - 1 for which a + a + \cdot\cdot\cdot + a is divisible by k. For instance, k_1 2 k when n = 9 the obtained sequence is 9,1,2,0,3,3,3,\\ldots. Prove that for any n the sequence a ,a ,\\ldots eventually becomes constant. 1 2"
18,Algebra,10M,USAMO 2009 P4,"For n \ge 2 let a ,a ,...a be positive real numbers such 1 2 n that ( ) ( )2 1 1 1 1 (a + a + \cdot\cdot\cdot + a ) + + \cdot\cdot\cdot + \le n + . 1 2 n a a a_2 1 2 n Prove that max(a ,a ,...,a ) \le 4min(a ,a ,...,a ). 1 2 n_1 2 n","For n \ge 2 let a ,a ,\\ldotsa be positive real numbers such 1 2 n that ( ) ( )2 1 1 1 1 (a + a + \cdot\cdot\cdot + a ) + + \cdot\cdot\cdot + \le n + . 1 2 n a a a_2 1 2 n Prove that max(a ,a ,\\ldots,a ) \le 4min(a ,a ,\\ldots,a ). 1 2 n_1 2 n"
19,Algebra,10M,USAMO 2011 P1,"Let a,b,c be positive real numbers such that a2 + b2 + c2 + (a + b + c)2 \le 4. Prove that ab + 1 bc + 1 ca + 1 + + \ge 3. (a + b)2 (b + c)2 (c + a)2","Let a,b,c be positive real numbers such that a2 + b2 + c2 + (a + b + c)2 \le 4. Prove that ab + 1 bc + 1 ca + 1 + + \ge 3. (a + b)2 (b + c)2 (c + a)2"
20,Algebra,10M,USAMO 2013 P4,"Find all real numbers x,y,z \ge 1 satisfying \sqrt \sqrt \sqrt \sqrt \sqrt (cid:112) min( x + xyz, y + xyz, z + xyz) = x - 1 + y - 1 + z - 1.","Find all real numbers x,y,z \ge 1 satisfying \sqrt \sqrt \sqrt \sqrt \sqrt (cid:112) min( x + xyz, y + xyz, z + xyz) = x - 1 + y - 1 + z - 1."
21,Algebra,10M,USAMO 2014 P1,"Let a, b, c, d be real numbers such that b-d \ge 5 and all zeros x ,x ,x , and x of the polynomial P(x) = x4+ax3+bx2+cx+d are 1 2 3 4 real. Find the smallest value the product (x2 + 1)(x2 + 1)(x2 + 1)(x2 + 1) 1 2 3 4 can take.","Let a, b, c, d be real numbers such that b-d \ge 5 and all zeros x ,x ,x , and x of the polynomial P(x) = x4+ax3+bx2+cx+d are 1 2 3 4 real. Find the smallest value the product (x2 + 1)(x2 + 1)(x2 + 1)(x2 + 1) 1 2 3 4 can take."
22,Algebra,10M,USAMO 2018 P1,"Let a,b,c be positive real numbers such that a+b+c = \sqrt 4 3 abc. Prove that 2(ab + bc + ca) + 4min(a2,b2,c2) \ge a2 + b2 + c2.","Let a,b,c be positive real numbers such that a+b+c = \sqrt 4 3 abc. Prove that 2(ab + bc + ca) + 4min(a2,b2,c2) \ge a2 + b2 + c2."
23,Algebra,10M,"USA TST 2015, P4","Let f : Q \to Q be a function such that for any x,y \in Q, the number f(x + y) - f(x) - f(y) is an integer. Decide whether it follows that there exists a constant c such that f(x) - cx is an integer for every rational number x. 8","Let f : \mathbb{Q} \to \mathbb{Q} be a function such that for any x,y \in \mathbb{Q}, the number f(x + y) - f(x) - f(y) is an integer. Decide whether it follows that there exists a constant c such that f(x) - cx is an integer for every rational number x. 8"
